commodity,month_num,avg_price
Meat (Goat),1,605.2443333
Meat (Goat),2,580.6261667
Meat (Goat),3,589.5835
Meat (Goat),4,599.0994444
Meat (Goat),5,610.7638889
Meat (Goat),6,583.31
Meat (Goat),7,591.1491667
Meat (Goat),8,566.3166667
Meat (Goat),9,591.8208333
Meat (Goat),10,626.8373333
Meat (Goat),11,630.3520556
Meat (Goat),12,621.5719444
"Milk (Camel, Fresh)",1,100
"Milk (Camel, Fresh)",2,123.7033333
"Milk (Camel, Fresh)",3,164.8988889
"Milk (Camel, Fresh)",4,137.5
"Milk (Camel, Fresh)",5,133.75
"Milk (Camel, Fresh)",6,155
"Milk (Camel, Fresh)",7,60
"Milk (Camel, Fresh)",8,144.945
"Milk (Camel, Fresh)",9,160.2783333
"Milk (Camel, Fresh)",10,140
"Milk (Camel, Fresh)",11,162.9166667
"Milk (Camel, Fresh)",12,161.6666667
"Milk (Cow, Fresh)",1,136.47
"Milk (Cow, Fresh)",2,129.1666667
"Milk (Cow, Fresh)",4,81.42857143
"Milk (Cow, Fresh)",8,100
"Milk (Cow, Pasteurized)",1,36.81444444
"Milk (Cow, Pasteurized)",2,34
"Milk (Cow, Pasteurized)",3,33.83333333
"Milk (Cow, Pasteurized)",4,39.6
"Milk (Cow, Pasteurized)",5,41.3
"Milk (Cow, Pasteurized)",6,35.60272727
"Milk (Cow, Pasteurized)",7,39.8
"Milk (Cow, Pasteurized)",8,44.375
"Milk (Cow, Pasteurized)",9,37.63333333
"Milk (Cow, Pasteurized)",10,40.38272727
"Milk (Cow, Pasteurized)",11,39.92555556
"Milk (Cow, Pasteurized)",12,39.78888889
Milk (Uht),1,70.0795303
Milk (Uht),2,72.17183333
Milk (Uht),3,73.28605801
Milk (Uht),4,72.26940351
Milk (Uht),5,77.23072222
Milk (Uht),6,76.61738095
Milk (Uht),7,71.06733333
Milk (Uht),8,54.77372807
Milk (Uht),9,73.97
Milk (Uht),10,74.68437255
Milk (Uht),11,75.48954545
Milk (Uht),12,75.15788889
Millet (Finger),1,6850.25
Millet (Finger),2,7153.25
Millet (Finger),3,6098.833333
Millet (Finger),5,6733.5
Millet (Finger),6,9111.2
Millet (Finger),7,6600
Millet (Finger),8,8573.4
Millet (Finger),9,8096
Millet (Finger),10,7832.75
Millet (Finger),11,8490.107143
Oil (Vegetable),1,210.881131
Oil (Vegetable),2,225.7624385
Oil (Vegetable),3,201.7775543
Oil (Vegetable),4,195.8766603
Oil (Vegetable),5,196.088244
Oil (Vegetable),6,205.4521234
Oil (Vegetable),7,194.3767949
Oil (Vegetable),8,198.7863951
Oil (Vegetable),9,181.52875
Oil (Vegetable),10,198.8863661
Oil (Vegetable),11,209.3123611
Oil (Vegetable),12,197.0366745
Onions (Dry),1,1009.112083
Onions (Dry),2,1008.058267
Onions (Dry),3,1025.428333
Onions (Dry),4,1184.281375
Onions (Dry),5,1219.958715
Onions (Dry),6,1255.535714
Onions (Dry),7,934.85
Onions (Dry),8,910.71
Onions (Dry),9,1052.52225
Onions (Dry),10,1044.6275
Onions (Dry),11,763.7403704
Onions (Dry),12,1121.153095
Onions (Red),8,57
Potatoes (Irish),1,1300.523233
Potatoes (Irish),2,1289.631646
Potatoes (Irish),3,1503.89825
Potatoes (Irish),4,1791.131026
Potatoes (Irish),5,1779.304255
Potatoes (Irish),6,1553.67256
Potatoes (Irish),7,1271.128731
Potatoes (Irish),8,1309.323741
Potatoes (Irish),9,1568.122637
Potatoes (Irish),10,1640.909571
Potatoes (Irish),11,1572.04584
Potatoes (Irish),12,1598.802838
"Potatoes (Irish, Red)",1,2272.354167
"Potatoes (Irish, Red)",2,2508.222
"Potatoes (Irish, Red)",3,2498.270833
"Potatoes (Irish, Red)",4,3145.723333
"Potatoes (Irish, Red)",5,3677.221667
"Potatoes (Irish, Red)",6,2753.577778
"Potatoes (Irish, Red)",7,2250.172619
"Potatoes (Irish, Red)",8,2261.666667
"Potatoes (Irish, Red)",9,2537.898889
"Potatoes (Irish, Red)",10,2129.3
"Potatoes (Irish, Red)",11,2172.2825
"Potatoes (Irish, Red)",12,2384.666667
"Potatoes (Irish, White)",1,2810.122222
"Potatoes (Irish, White)",2,2317.521333
"Potatoes (Irish, White)",3,3056.596607
"Potatoes (Irish, White)",4,2813.567619
"Potatoes (Irish, White)",5,2898.160521
"Potatoes (Irish, White)",6,2322.473214
"Potatoes (Irish, White)",7,2286.27381
"Potatoes (Irish, White)",8,2142.586071
"Potatoes (Irish, White)",9,2163.864583
"Potatoes (Irish, White)",10,2511.006786
"Potatoes (Irish, White)",11,2602.0925
"Potatoes (Irish, White)",12,2755.889167
Rice,1,120.7314464
Rice,2,131.2516937
Rice,3,134.5537917
Rice,4,134.329599
Rice,5,129.8832381
Rice,6,118.5664216
Rice,7,124.2407197
Rice,8,110.2191974
Rice,9,125.2899675
Rice,10,121.50475
Rice,11,126.7344732
Rice,12,128.0217884
Rice (Aromatic),1,6865.35
Rice (Aromatic),2,7404.7165
Rice (Aromatic),3,6810.916667
Rice (Aromatic),4,7757.541875
Rice (Aromatic),5,7520.535595
Rice (Aromatic),6,6944.633333
Rice (Aromatic),7,7371.34127
Rice (Aromatic),8,7395.535595
Rice (Aromatic),9,7410.305333
